arroyo,n. a stream or brook
foible,n. the weaker part of a sword's blade from the forte to the tip
brim,"n. the top edge of a vessel or other container
n. a circular projection that sticks outward from the crown of a hat
v. be completely full
v. fill as much as possible"
flange,n. a projection used for strength or for attaching to another object
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
sidetrack,v. wander from a direct or straight course
criteria,"n a basis for comparison; a reference point against which other things can be evaluated
n the ideal in terms of which something can be judged"
criterion,n. the ideal in terms of which something can be judged
emblematic,"s. serving as a visible symbol for something abstract
s. being or serving as an illustration of a type;"
ensign,"n. a person who holds a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant junior grade
n. colors flown by a ship to show its nationality"
touchstone,n a basis for comparison; a reference point against which other things can be evaluated
denotation,"n the act of indicating or pointing out by name
n the most direct or specific meaning of a word or expression; the class of objects that an expression refers to"
earmark,n. identification mark on the ear of a domestic animal
guideline,n. a light line that is used in lettering to help align the letters
embodiment,"n. a new personification of a familiar idea
n. giving concrete form to an abstract concept"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
incarnate,"v. make concrete and real
v. represent in bodily form
s. invested with a bodily form especially of a human body"
materialize,v come into being; become reality
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
phenomena,"n any state or process known through the senses rather than by intuition or reasoning
n a remarkable development"
produce,"n. fresh fruits and vegetable grown for the market
v. bring forth or yield
v. create or manufacture a man-made product
v. cause to happen, occur or exist"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
susceptibility,n. the state of being susceptible; easily affected
generalization,"n. reasoning from detailed facts to general principles
n. an idea or conclusion having general application
n. (psychology) transfer of a response learned to one stimulus to a similar stimulus"
pedigree,"n. line of descent of a purebred animal
n. ancestry of a purebred animal
s. having a list of ancestors as proof of being a purebred animal"
immaterial,"a. of no importance or relevance especially to a law case
a. not consisting of matter
s. (often followed by `to') lacking importance; not mattering one way or the other"
bout,"n. a period of illness
n. a contest or fight (especially between boxers or wrestlers)"
ream,"n. a large quantity of written matter
n. a quantity of paper; 480 or 500 sheets; one ream equals 20 quires
v. squeeze the juice out (of a fruit) with a reamer
v. remove by making a hole or by boring"
pixel,n. (computer science) the smallest discrete component of an image or picture on a CRT screen (usually a colored dot)
wisp,"n. a small tuft or lock
n. a small person
n. a small bundle of straw or hay
n. a flock of snipe"
swath,"n. the space created by the swing of a scythe or the cut of a mowing machine
n. a path or strip (as cut by one course of mowing)"
locale,n the scene of any event or action (especially the place of a meeting)
locus,"n. the specific site of a particular gene on its chromosome
n. the set of all points or lines that satisfy or are determined by specific conditions"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
acme,n. the highest level or degree attainable; the highest stage of development
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
culmination,n. (astronomy) a heavenly body's highest celestial point above an observer's horizon
epicenter,n. the point on the Earth's surface directly above the focus of an earthquake
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
nadir,"n. an extreme state of adversity; the lowest point of anything
n. the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected"
perigee,n. periapsis in Earth orbit; the point in its orbit where a satellite is nearest to the Earth
watershed,n. a ridge of land that separates two adjacent river systems
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
climactic,a. consisting of or causing a climax
equinox,n. either of two times of the year when the sun crosses the plane of the earth's equator and day and night are of equal length
solstice,n. either of the two times of the year when the sun is at its greatest distance from the celestial equator
aperture,"n. a device that controls amount of light admitted
n. a natural opening in something
n. an man-made opening; usually small"
crease,"n an angular or rounded shape made by folding
n a slight depression in the smoothness of a surface
n a Malayan dagger with a wavy blade
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v make wrinkled or creased
v scrape gently
v become wrinkled or crumpled or creased"
crevice,n. a long narrow depression in a surface
gash,"n a wound made by cutting
n a trench resembling a furrow that was made by erosion or excavation
n a strong sweeping cut made with a sharp instrument
v cut open"
hiatus,n. a missing piece (as a gap in a manuscript)
incision,"n. a depression scratched or carved into a surface
n. the cutting of or into body tissues or organs (especially by a surgeon as part of an operation)"
indent,"n. an order for goods to be exported or imported
v. set in from the margin
v. cut or tear along an irregular line so that the parts can later be matched for authentication"
interstice,"n. a small structural space between tissues or parts of an organ
n. small opening between things"
nick,"n. (British slang) a prison
v. cut slightly, with a razor
v. cut a nick into
v. divide or reset the tail muscles of"
notch,"n. a V-shaped indentation
n. a V-shaped or U-shaped indentation carved or scratched into a surface
n. a small cut
v. cut or make a notch into"
orifice,n. an aperture or hole that opens into a bodily cavity
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
serrated,"v make saw-toothed or jag the edge of
s notched like a saw with teeth pointing toward the apex"
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
suture,"n. an immovable joint (especially between the bones of the skull)
n. a seam used in surgery
n. thread of catgut or silk or wire used by surgeons to stitch tissues together"
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
deductive,"a. relating to logical deduction
a. involving inferences from general principles"
dialectic,"n. any formal system of reasoning that arrives at the truth by the exchange of logical arguments
n. a contradiction of ideas that serves as the determining factor in their interaction
a. of or relating to or employing dialectic"
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
platonic,"a. of or relating to or characteristic of Plato or his philosophy
s. free from physical desire"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
ratiocination,n. logical and methodical reasoning
deducible,s. capable of being deduced
dialectical,a of or relating to or employing dialectic
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
syllogism,n. deductive reasoning in which a conclusion is derived from two premises
daunt,v. cause to lose courage
flaunt,"n. the act of displaying something ostentatiously
v. display proudly; act ostentatiously or pretentiously"
flaunty,s inclined to flaunt
gaunt,s very thin especially from disease or hunger or cold
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
jaunt,"n a journey taken for pleasure
v make a trip for pleasure"
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
vaunt,n. extravagant self-praise
corporal,n. a noncommissioned officer in the Army or Air Force or Marines
corporeal,a. having material or physical form or substance
entity,n. that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
faucet,n. a regulator for controlling the flow of a liquid from a reservoir
fender,"n. a barrier that surrounds the wheels of a vehicle to block splashing water or mud
n. an inclined metal frame at the front of a locomotive to clear the track
n. a low metal guard to confine falling coals to a hearth"
filament,"n. the stalk of a stamen
n. a threadlike structure (as a chainlike series of cells)
n. a thin wire (usually tungsten) that is heated white hot by the passage of an electric current"
heirloom,"n. (law) any property that is considered by law or custom as inseparable from an inheritance is inherited with that inheritance
n. something that has been in a family for generations"
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
hydrant,n. a discharge pipe with a valve and spout at which water may be drawn from the mains of waterworks
matrix,"n. (mathematics) a rectangular array of quantities or expressions set out by rows and columns; treated as a single element and manipulated according to rules
n. (geology) amass of fine-grained rock in which fossils, crystals, or gems are embedded
n. an enclosure within which something originates or develops (from the Latin for womb)
n. the body substance in which tissue cells are embedded"
memento,n. a reminder of past events
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
monocle,n. lens for correcting defective vision in one eye; held in place by facial muscles
papyrus,"n. paper made from the papyrus plant by cutting it in strips and pressing it flat; used by ancient Egyptians and Greeks and Romans
n. tall sedge of the Nile valley yielding fiber that served many purposes in historic times
n. a document written on papyrus"
somatic,s affecting or characteristic of the body as opposed to the mind or spirit
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
worldly,a. characteristic of or devoted to the temporal world as opposed to the spiritual world
specter,"n a mental representation of some haunting experience
n a ghostly appearing figure"
fiend,"n a cruel wicked and inhuman person
n an evil supernatural being
n a person motivated by irrational enthusiasm (as for a cause)"
satyr,"n. man with strong sexual desires
n. one of a class of woodland deities; attendant on Bacchus; identified with Roman fauns"
spectral,a. of or relating to a spectrum
vampire,n. (folklore) a corpse that rises at night to drink the blood of the living
demoniac,n. someone who acts as if possessed by a demon
atheistic,s. rejecting any belief in gods
elysium,"n. a place or condition of ideal happiness
n. (Greek mythology) the abode of the blessed after death"
anthropomorphic,s. suggesting human characteristics for animals or inanimate things
brand,"n. a recognizable kind
n. identification mark on skin, made by burning
n. a piece of wood that has been burned or is burning
v. burn with a branding iron to indicate ownership; of animals"
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
spoor,n. the trail left by a person or an animal; what the hunter follows in pursuing game
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
typographical,a relating to or occurring or used in typography
vestige,n an indication that something has been present
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
summary,n. a brief statement that presents the main points in a concise form
docket,"n. (law) the calendar of a court; the list of cases to be tried or a summary of the court's activities
v. place on the docket for legal action
v. make a summary or abstract of a legal document and inscribe it in a list"
compendium,n. a concise but comprehensive summary of a larger work
conspectus,n. an overall summary
epitomize,v embody the essential characteristics of or be a typical example of
generality,n. the quality of being general or widespread or having general applicability
gist,"n the central meaning or theme of a speech or literary work
n the choicest or most essential or most vital part of some idea or experience"
jot,"n a brief (and hurriedly handwritten) note
n a slight but appreciable amount
v write briefly or hurriedly; write a short note of"
motif,"n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration
n. a theme that is repeated or elaborated in a piece of music"
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
panorama,n. a picture (or series of pictures) representing a continuous scene
pith,"n. soft spongelike central cylinder of the stems of most flowering plants
v. remove the pith from (a plant)"
précis,none
summation,"n. a concluding summary (as in presenting a case before a law court)
n. (physiology) the process whereby multiple stimuli can produce a response (in a muscle or nerve or other part) that one stimulus alone does not produce
n. the arithmetic operation of summing; calculating the sum of two or more numbers"
syllabus,n an integrated course of academic studies
synopsis,n a sketchy summary of the main points of an argument or theory
synoptic,"a. presenting a summary or general view of a whole
s. presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament"
corrugate,v. fold into ridges
corrugated,s. shaped into alternating parallel grooves and ridges
frill,"n. (paleontology) a bony plate that curves upward behind the skull of many ceratopsian dinosaurs
n. an external body part consisting of feathers or hair about the neck of a bird or other animal
n. a strip of pleated material used as a decoration or a trim"
pleat,"n. any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
v. fold into pleats, ""Pleat the cloth"""
pucker,"n. an irregular fold in an otherwise even surface (as in cloth)
v. to gather something into small wrinkles or folds
v. become wrinkled or drawn together"
rumple,v. become wrinkled or crumpled or creased
wizened,s lean and wrinkled by shrinkage as from age or illness
extricable,a. capable of being extricated
nonthreatening,none
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
unthreatening,s not unfriendly or threatening
bedraggle,"v. make wet and dirty, as from rain"
taint,"n the state of being contaminated
v place under suspicion or cast doubt upon
v contaminate with a disease or microorganism"
puddle,"n. a mixture of wet clay and sand that can be used to line a pond and that is impervious to water when dry
v. wade or dabble in a puddle
v. subject to puddling or form by puddling
v. dip into mud before planting"
besmirch,"v charge falsely or with malicious intent; attack the good name and reputation of someone
v smear so as to make dirty or stained"
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
contaminate,v. make radioactive by adding radioactive material
dappled,s. having spots or patches of color
decrepit,s. lacking bodily or muscular strength or vitality
defile,"n. a narrow pass (especially one between mountains)
v. place under suspicion or cast doubt upon"
dilapidation,n. the process of becoming dilapidated
dingy,"s thickly covered with ingrained dirt or soot
s (of color) discolored by impurities; not bright and clear
s causing dejection"
dowdy,"n. deep-dish apple dessert covered with a rich crust
s. lacking in smartness or taste
s. primly out of date"
drainage,n emptying something accomplished by allowing liquid to run out of it
filth,"n. any substance considered disgustingly foul or unpleasant
n. a state characterized by foul or disgusting dirt and refuse"
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
fleck,"n a small fragment of something broken off from the whole
n a small contrasting part of something
v make a spot or mark onto"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
frowzy,s negligent of neatness especially in dress and person; habitually dirty and unkempt
hovel,n. small crude shelter used as a dwelling
impeccable,s. not capable of sin
jagged,s. having a sharply uneven surface or outline
landfill,n. a low area that has been filled in
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
muddy,"v. dirty with mud
v. cause to become muddy
v. make turbid"
profane,"a. not concerned with or devoted to religion
s. not holy because unconsecrated or impure or defiled"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
seamy,"s. showing a seam
s. morally degraded"
shabby,s. mean and unworthy and despicable
sleazy,s. of cloth; thin and loosely woven
sloppy,"s. lacking neatness or order
s. wet or smeared with a spilled liquid or moist material"
smear,"n. slanderous defamation
n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
v. stain by smearing or daubing with a dirty substance
v. make a smudge on; soil by smudging"
smirch,v. smear so as to make dirty or stained
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
soil,n. the part of the earth's surface consisting of humus and disintegrated rock
sordid,s. meanly avaricious and mercenary
squalid,"s morally degraded
s foul and run-down and repulsive"
squalor,n sordid dirtiness
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
stigmatize,"v. to accuse or condemn or openly or formally or brand as disgraceful
v. mark with a stigma or stigmata"
astray,r. away from the right path or direction
sully,"n. United States painter (born in England) of portraits and historical scenes (1783-1872)
n. French statesman (1560-1641)"
tattered,s. worn to shreds; or wearing torn or ragged clothing
tatty,"s showing signs of wear and tear
s tastelessly showy"
threadbare,s. having the nap worn away so that the threads show through
unkempt,"s. not neatly combed
s. not properly maintained or cared for"
unspotted,s without soil or spot or stain
variegation,n. variability in coloration
ragamuffin,n. a dirty shabbily clothed urchin
seedy,a. full of seeds
run-down,s. having the spring unwound
dent,"n. an appreciable consequence (especially a lessening)
n. an impression in a surface (as made by a blow)"
fluted,v form flutes in
projection,"n. a prediction made by extrapolating from past observations
n. the projection of an image from a film onto a screen
n. any structure that branches out from a central support
n. any solid convex shape that juts out from something"
alcove,n. a small recess opening off a larger room
concave,a. curving inward
convex,a. curving or bulging outward
groove,"n. a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)
n. (anatomy) any furrow or channel on a bodily structure or part
v. make a groove in, or provide with a groove"
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
protuberance,n. the condition of being protuberant; the condition of bulging out
protuberant,s curving outward
recess,"n. a small concavity
n. an enclosure that is set back or indented
v. put into a recess
v. make a recess in"
promontory,n. a natural elevation (especially a rocky one that juts out into the sea)
bungling,s. showing lack of skill or aptitude
cumbersome,s. difficult to handle or use especially because of size or weight
elephantine,s. of great mass; huge and bulky
hulk,n. a ship that has been wrecked and abandoned
ponderous,"s. having great mass and weight and unwieldiness
s. labored and dull"
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
unemphatic,s not emphasized
bauble,n. a mock scepter carried by a court jester
chore,n a specific piece of work required to be done as a duty or for a specific fee
circumstantial,s. fully detailed and specific about particulars
dispensable,a. capable of being dispensed with or done without
fractional,a. constituting or comprising a part or fraction of a possible whole or entirety
fustian,n. a strong cotton and linen fabric with a slight nap
futile,s. producing no result or effect
gnat,"n. any of various small biting flies: midges; biting midges; black flies; sand flies
n. (British usage) mosquito"
inane,s devoid of intelligence
inappreciable,s. too small to make a significant difference
inconsequential,s. not following logically as a consequence
marginal,s. producing at a rate that barely covers production costs
microscopic,"a. of or relating to or used in microscopy
s. visible under a microscope; using a microscope
s. extremely precise with great attention to details
s. so small as to be invisible without a microscope"
minuscule,"n. a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
a. of or relating to a small cursive script developed from uncial; 7th to 9th centuries
s. very small"
minutia,n. a small or minor detail
niggling,"v worry unnecessarily or excessively
v argue over petty things
s (informal) small and of little importance"
nonsensical,"s incongruous; inviting ridicule
s having no intelligible meaning"
nuance,n. a subtle difference in meaning or opinion or attitude
nugatory,s. of no real value
overshadow,"v. be greater in significance than
v. cast a shadow upon"
paltry,"s not worth considering
s contemptibly small in amount"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
periphery,n. the outside boundary or surface of something
petty,s. contemptibly narrow in outlook
piddling,"v waste time; spend one's time idly or inefficiently
v eliminate urine
s (informal) small and of little importance"
piecemeal,r. a little bit at a time
slight,"v. pay no attention to, disrespect"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
trifle,"n. a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
trivia,"n something of small importance
n (Middle Ages) an introductory curriculum at a medieval university involving grammar and logic and rhetoric; considered to be a triple way to eloquence"
trivial,s. concerned with trivialities
venial,"s warranting only temporal punishment
s easily excused or forgiven"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
categorical,a. relating to or included in a category or categories
comprehensive,"a. including all or everything
s. broad in scope"
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
dissolute,s unrestrained by convention or morality
drastic,s. forceful and extreme and rigorous
egregious,s conspicuously and outrageously bad or reprehensible
entirety,n. the state of being total and complete
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
exhaustive,s. performed comprehensively and completely
exorbitant,s. greatly exceeding bounds of reason or moderation
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
inordinate,s beyond normal limits
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
maturity,"n. state of being mature; full development
n. the date on which an obligation must be repaid"
officious,s intrusive in a meddling or offensive manner
omnipresent,s. being present everywhere at once
overexposure,"n. the act of exposing film to too much light or for too long a time
n. the act of exposing someone excessively to an influencing experience"
overreach,v. fail by aiming too high or trying too hard
overwrought,s deeply agitated especially from emotion
pamper,v. treat with excessive indulgence
partial,"s. being or affecting only a part; not total
a. showing favoritism"
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
plenary,s. full in all respects
plenitude,n a full supply
plentitude,n a full supply
plethora,n extreme excess
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
prudish,s exaggeratedly proper
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
satiety,n the state of being satisfactorily full and unable to take on more
stark,"s. complete or extreme
r. completely"
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
surfeit,"n. the state of being more than full
v. supply or feed to surfeit
v. indulge (one's appetite) to satiety"
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
synthesis,"n. the process of producing a chemical compound (usually by the union of simpler chemical compounds)
n. the combination of ideas into a complex whole"
unconscionable,"s lacking a conscience
s greatly exceeding bounds of reason or moderation"
underbid,"v. bid (a hand of cards) at less than the strength of the hand warrants
v. bid lower than a competing bidder
v. bid too low"
unmitigated,a. not diminished or moderated in intensity or severity; sometimes used as an intensifier
unqualified,"a. not limited or restricted
a. not meeting the proper standards and requirements and training"
unreserved,"a. not reserved
a. not cautious or reticent"
utter,"v. express audibly; utter sounds (not necessarily words)
v. put into circulation"
thoroughgoing,"s performed comprehensively and completely
s without qualification; used informally as (often pejorative) intensifiers"
unabridged,a. (used of texts) not shortened
untempered,"a. not brought to a proper consistency or hardness
a. not moderated or controlled"
sophomoric,a. Alt. of Sophomorical
immature,"a. characteristic of a lack of maturity
a. not yet mature"
overly,r to a degree exceeding normal or proper limits
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
earthly,a. of or belonging to or characteristic of this earth as distinguished from heaven
enduring,s. patiently bearing continual wrongs or trouble
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
everlasting,n. any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color
heyday,n the period of greatest prosperity or productivity
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
incessant,s uninterrupted in time and indefinitely long continuing
infinity,n time without end
lasting,s. lasting a long time without change
lease,"n. property that is leased or rented out or let
n. a contract granting use or occupation of property during a specified time for a specified payment
n. the period of time during which a contract conveying property to a person is in effect
v. grant use or occupation of under a term of contract"
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
permanence,n. the property of being able to exist for an indefinite duration
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
perpetuate,v. cause to continue or prevail
perpetuation,n the act of prolonging something
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
sustained,s. maintained at length without interruption or weakening
tenure,"n. the term during which some position is held
n. the right to hold property; part of an ancient hierarchical system of holding lands
v. give life-time employment to"
unremitting,s uninterrupted in time and indefinitely long continuing
reserved,"a. set aside for the use of a particular person or party
a. marked by self-restraint and reticence"
disgorge,"v cause or allow (a solid substance) to flow or run out or over
v eject the contents of the stomach through the mouth"
effluvia,n a foul-smelling outflow or vapor (especially a gaseous waste)
fetid,s. offensively malodorous
flagrant,s conspicuously and outrageously bad or reprehensible
fusty,"s. stale and unclean smelling
s. old-fashioned and out of date"
gruesome,s shockingly repellent; inspiring horror
malodor,n. a distinctive odor that is offensively unpleasant
mawkish,s effusively or insincerely emotional
musty,"s covered with or smelling of mold
s stale and unclean smelling"
nausea,"n. the state that precedes vomiting
n. disgust so strong it makes you feel sick"
nauseate,"v upset and make nauseated
v cause aversion in; offend the moral sense of"
noisome,"s causing or able to cause nausea
s offensively malodorous"
notorious,s known widely and usually unfavorably; 
putrid,"a. of or relating to or attended by putrefaction
s. in an advanced state of decomposition and having a foul odor
s. morally corrupt or evil"
queasy,"s causing or able to cause nausea
s feeling nausea; feeling about to vomit
s causing or fraught with or showing anxiety"
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
reek,"v. smell badly and offensively
v. be wet with sweat or blood, as of one's face
v. give off smoke, fumes, warm vapour, steam, etc."
stale,"v. urinate, of cattle and horses
a. lacking freshness, palatability, or showing deterioration from age"
stench,n a distinctive odor that is offensively unpleasant
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
coarsen,"v. make or become coarse or coarser
v. make less subtle or refined"
crudity,"n a wild or unrefined state
n an impolite manner that is vulgar and lacking tact or refinement"
gnarled,s. used of old persons or old trees; covered with knobs or knots
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
raspy,s unpleasantly harsh or grating in sound
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
roughen,v. make rough or rougher
