fray,v. wear away by rubbing
unassuming,s not arrogant or presuming
uncouth,s lacking refinement or cultivation or taste
sanctuary,n. a consecrated place where sacred objects are kept
mire,"n. a soft wet area of low-lying land that sinks underfoot
n. a difficulty or embarrassment that is hard to extricate yourself from
v. cause to get stuck as if in a mire"
shunt,"n. a passage by which a bodily fluid (especially blood) is diverted from one channel to another
n. a conductor having low resistance in parallel with another device to divert a fraction of the current
n. implant consisting of a tube made of plastic or rubber; for draining fluids within the body
v. transfer to another track, of trains"
expedient,"n. a means to an end; not necessarily a principled or ethical one
a. serving to promote your interest
s. appropriate to a purpose; practical"
extricate,v. release from entanglement of difficulty
flirt,n. playful behavior intended to arouse sexual interest
gruff,s. deep and harsh sounding as if from shouting or illness or emotion
horrid,s. exceedingly bad
impartial,a. showing lack of favoritism
genesis,"n. a coming into being
n. the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers"
hassle,n. disorderly fighting
relentless,"s not to be placated or appeased or moved by entreaty
s never-ceasing"
disprove,v. prove to be false
ghetto,"n. formerly the restricted quarter of many European cities in which Jews were required to live
n. any segregated mode of living or working that results from bias or stereotyping
n. a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
norm,n. a standard or model or pattern regarded as typical
endorse,v. sign as evidence of legal transfer
exhortation,"n. a communication intended to urge or persuade the recipients to take some action
n. the act of exhorting; an earnest attempt at persuasion"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
flyer,"n an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
n someone who travels by air
n someone who operates an aircraft
s (British informal) not to be deceived or hoodwinked"
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
marketing,"n. the commercial processes involved in promoting and selling and distributing a product or service
n. shopping at a market"
hype,v. publicize in an exaggerated and often misleading manner
unrelenting,"s not to be placated or appeased or moved by entreaty
s harsh
s never-ceasing"
ferocious,s. marked by extreme and violent energy
utopian,"n. an idealistic (but usually impractical) social reformer
a. of or pertaining to or resembling a utopia
a. characterized by or aspiring to impracticable perfection"
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
tout,"n. someone who buys tickets to an event in order to resell them at a profit
n. someone who advertises for customers in an especially brazen way
v. advertize in strongly positive terms"
rationalize,"v. structure and run according to rational or scientific principles in order to achieve desired results
v. think rationally; employ logic or reason
v. remove irrational quantities from"
ado,n a rapid active commotion
gimmick,"n a drawback or difficulty that is not readily evident
n something unspecified whose name is either forgotten or not known
n any clever maneuver"
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
perk,"n an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
v gain or regain energy"
duet,"n. two performers or singers who perform together
n. a musical composition for two performers"
fag,"v. act as a servant for older boys, in British public schools"
tonic,"n. lime- or lemon-flavored carbonated water containing quinine
n. (music) the first note of a diatonic scale
n. a medicine that strengthens and invigorates
a. of or relating to or producing normal tone or tonus in muscles or tissue"
cerebral,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain"
imperious,s having or showing arrogant superiority to and disdain of those one views as unworthy
rueful,s feeling or expressing pain or sorrow for sins or offenses
jubilant,"s joyful and proud especially because of triumph or success
s full of high-spirited delight"
