alphabet,n.字母表
grandmother,n.祖母
grandfather,"n.祖父,始祖"
grandparents,
grandson,n.孙子
granddaughter,n.孙女
grandchildren,n.孙子
sister,"n.姐妹,姐,女会员,修女,妹vt.姐妹般对待"
wife,n.妻子
husband,n.丈夫
aunt,"n.姑妈,伯母,舅妈,阿姨"
uncle,"n.伯父,叔父,姨丈,援助者"
niece,"n.侄女,甥女"
nephew,"n.侄子,外甥"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
acting,"adj.代理的,起作用的,演戏的"
baking,"n.烘焙,一次烘焙的量"
crying,"adj.叫喊的,显著的,嚎哭的"
dancing,n.舞蹈
having dinner,
laughing,"adj.带笑的,可笑的n.笑"
riding,"n.马术,骑术"
skateboarding,
talking,"adj.说话的,表情丰富的n.谈论"
vacuuming,
bakery,n.面包店
barber shop,
book store,
bus station,
cafeteria,n.自助餐厅
clinic,"n.门诊部,临床"
department store,
drug store,
hair salon,
health club,
hotel,"n.旅馆,客栈,<俚>监狱"
laundromat,n.<美> 自助洗衣店
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育"
train station,
video store,
airport,"n.<主美>小型民用机场,私人飞机降落场"
bakery,n.面包店
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
barber shop,
book store,
bus station,
cafeteria,n.自助餐厅
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜"
clinic,"n.门诊部,临床"
clothing store,
department store,
drug store,
fire station,
gas station,
hair salon,
health club,
hospital,n.医院
hotel,"n.旅馆,客栈,<俚>监狱"
laundromat,n.<美> 自助洗衣店
library,"n.图书馆,藏书室,库"
movie theater,
park,"n.公园,停车场,炮场vt.停放(汽车等)"
police station,
post office,
restaurant,"n.餐馆,饭店"
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育"
shopping mall,
supermarket,n.超级市场
train station,
video store,
zoo,n.动物园
air conditioner,
apartment building,
building,"n.建筑物,营造物(如房屋,大楼,工厂,船等)"
bus stop,
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
elevator,"n.电梯,升降机,[空]升降舵"
fire escape,
floor,"n.(房间,走廊等的)地面,地板,基底,(室内的)场地,层,海底,议员席vt.在...上铺(地板),击倒,(被困难)难倒"
jacuzzi,
mailbox,"n.<美>邮筒,邮箱"
refrigerator,"n.电冰箱,冷藏库"
stove,n.炉
superintendent,"n.主管,负责人,指挥者,管理者"
washing machine,
shirt,"n.衬衫,衬衣"
coat,"n.外套,(动物的)皮毛,(植物的)表皮,(漆等的)层,涂层vt.涂上,包上"
dress,"n.女服,童装,服装,衣服v.(给...)穿衣"
skirt,n.裙子v.环绕
blouse,"n.宽松的上衣,似衬衫的上衣"
jacket,"n.短上衣,夹克,(锅炉、水管等的)套,书籍的封面套纸,护封,马铃薯皮vt.给...穿夹克,给...装护套"
suit,"v.合适,适合,相配,合式,适宜于n.一套衣服"
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负"
belt,"n.带子,地带"
sweater,"n.厚运动衫,毛线衫"
pants,"n.裤子,短裤"
