new,"adj. 刚出现的；新的；新近推出的；新买的
n. 新东西；新事物
abbr. 〈美(=net economic welfare)纯经济福利
adv. 同“newly”
[网络] 新建(New.)；新品；全新"
old,"n. 老年人；…岁的(人)；旧事物
adj. 老的；陈年的；…久的；年龄较长的
[网络] 旧的；年老的；古老的"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
[计] 文件分配表"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
[计] 单精度型"
handsome,[网络] 手一些；手多；竹兰在国际刑警英俊
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
big,[网络] 装瓶业务投资集团；犬组冠军；犬种群冠军
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间
n. (Little)人名；(英)利特尔"
noisy,"a. 嘈杂的, 喧闹的
[机] 噪声的, 嘈杂的"
